customer_id,region,channel,membership,category_pref,device,tenure_months,visits_month,purchases_90d,aov_clp,total_spend_90d_clp,return_count_90d,rating_avg,days_since_last_purchase,repurchase_30d
40,RM,Email,Sí,Hogar,Mobile,22,11,1,30083.0,33278,0,3.4,74,0
41,RM,Ads,Sí,Tecnología,Desktop,7,32,1,46647.0,65045,0,4.1,8,1
42,Valparaíso,Email,No,Tecnología,Mobile,18,19,0,,0,0,3.9,115,0
43,RM,Email,No,Moda,Mobile,28,14,2,24624.0,64795,1,4.2,107,0
44,Los Lagos,Ads,No,Belleza,Mobile,5,22,1,32735.0,44808,0,3.7,15,0
45,RM,Organic,No,Tecnología,Desktop,24,24,2,48459.0,95496,0,3.6,30,0
46,Biobío,Ads,No,Tecnología,Mobile,41,22,1,49834.0,45853,0,3.9,26,0
47,RM,Organic,No,Deportes,Mobile,29,10,0,,0,0,4.1,183,0
48,Valparaíso,Organic,No,Tecnología,Mobile,32,9,0,,0,0,3.5,46,0
49,Valparaíso,Organic,No,Deportes,Desktop,20,44,0,,0,0,,33,0
50,RM,Organic,No,Moda,Desktop,28,19,0,,0,0,4.0,77,0
51,Los Lagos,Organic,No,Belleza,Desktop,11,15,0,,0,0,4.1,53,0
52,Biobío,Organic,Sí,Hogar,Mobile,26,25,1,36117.0,42206,0,4.6,105,0
53,Los Lagos,Email,No,Moda,Desktop,25,11,1,32846.0,38057,0,3.8,21,1
54,Araucanía,Referral,No,Hogar,Mobile,21,26,2,32117.0,66144,1,4.5,2,1
55,Valparaíso,Organic,No,Moda,Mobile,31,13,1,32109.0,31760,0,4.1,17,0
56,Los Lagos,Referral,No,Hogar,Mobile,13,4,0,,9145,0,4.4,53,0
57,RM,Ads,No,Tecnología,Mobile,16,20,0,,6716,0,4.3,59,0
58,RM,Organic,No,Hogar,Desktop,19,8,0,,3560,0,4.3,52,0
59,RM,Organic,No,Moda,Mobile,8,14,0,,0,0,4.1,98,0
60,RM,Ads,No,Deportes,Mobile,20,18,1,30047.0,38892,0,3.9,17,0
61,RM,Email,Sí,Deportes,Mobile,1,26,3,46049.0,144825,0,4.9,0,0
62,RM,Ads,Sí,Moda,Mobile,28,44,1,38336.0,36368,0,4.2,3,0
63,Araucanía,Organic,No,Tecnología,Mobile,18,25,1,61536.0,46196,0,3.7,73,0
64,RM,Organic,No,Deportes,Mobile,13,19,0,,760,0,,32,1
65,RM,Organic,Sí,Hogar,Mobile,10,22,1,49468.0,43930,0,4.1,4,1
66,Valparaíso,Organic,No,Belleza,Mobile,16,20,0,,5738,0,,91,0
67,RM,Organic,No,Belleza,Mobile,25,34,0,,1727,0,,176,0
68,Araucanía,Organic,No,Tecnología,Desktop,23,22,1,51170.0,37788,0,3.4,0,0
69,RM,Email,Sí,Deportes,Mobile,11,10,1,32932.0,35291,0,4.0,28,0
70,Los Lagos,Referral,No,Tecnología,Desktop,10,9,0,,13721,0,4.7,201,0
71,Biobío,Organic,No,Hogar,Desktop,25,29,1,31195.0,29973,0,4.3,25,0
72,RM,Referral,Sí,Moda,Desktop,11,25,2,36037.0,72008,1,4.1,7,1
73,RM,Organic,No,Tecnología,Mobile,19,33,2,64202.0,125660,0,3.9,9,0
74,Araucanía,Ads,No,Deportes,Mobile,19,28,3,38516.0,269453,0,4.1,26,0
75,Biobío,Organic,Sí,Tecnología,Desktop,21,27,2,64436.0,141192,0,4.6,23,1
76,Biobío,Ads,No,Tecnología,Mobile,27,21,1,65328.0,73773,0,3.5,16,1
77,Biobío,Referral,No,Moda,Mobile,5,11,1,26862.0,22255,0,5.0,2,0
78,RM,Ads,No,Moda,Mobile,0,19,1,16417.0,15835,0,3.8,120,0
79,RM,Organic,No,Belleza,Mobile,12,7,0,,0,0,4.0,91,0
80,RM,Ads,No,Moda,Desktop,36,13,0,,3293,0,4.0,94,0
81,Araucanía,Organic,No,Moda,Mobile,38,8,1,31505.0,34946,0,4.0,1,0
82,Valparaíso,Email,No,Hogar,Mobile,36,16,1,30038.0,29271,0,3.9,39,0
83,RM,Ads,Sí,Tecnología,Mobile,16,23,1,77996.0,68037,0,4.6,1,0
84,RM,Ads,No,Tecnología,Mobile,0,11,0,,0,0,4.5,49,0
85,RM,Ads,No,Moda,Mobile,0,24,0,,0,0,4.4,39,0
86,RM,Ads,No,Moda,Mobile,12,17,0,,0,0,,104,0
87,Biobío,Organic,Sí,Hogar,Mobile,16,29,1,38712.0,45019,0,4.0,25,0
88,Biobío,Ads,No,Deportes,Mobile,31,24,1,37445.0,72040,0,4.0,3,0
89,Araucanía,Organic,No,Moda,Desktop,27,47,4,30849.0,115133,0,4.1,0,1
90,Valparaíso,Ads,No,Tecnología,Mobile,20,19,0,,15840,0,,99,0
91,RM,Email,No,Tecnología,Mobile,9,11,0,,3332,0,,81,0
92,Biobío,Email,No,Deportes,Mobile,8,10,0,,6336,0,4.7,42,0
93,Biobío,Ads,Sí,Deportes,Mobile,21,30,4,50395.0,209965,1,4.1,0,1
94,Valparaíso,Ads,No,Belleza,Desktop,25,27,2,25485.0,47481,1,4.2,0,1
95,Biobío,Organic,No,Tecnología,Desktop,22,16,0,,4349,0,3.9,71,0
96,Valparaíso,Email,No,Belleza,Mobile,8,19,5,31633.0,142729,0,4.4,2,0
97,Valparaíso,Organic,Sí,Tecnología,Mobile,25,32,1,73540.0,81239,0,4.0,1,0
98,RM,Ads,No,Tecnología,Desktop,22,27,0,,0,0,4.0,75,0
99,RM,Organic,No,Belleza,Mobile,7,19,1,18515.0,22729,0,4.3,0,0
100,RM,Organic,No,Tecnología,Mobile,10,7,0,,0,0,3.8,51,0
101,RM,Ads,No,Moda,Desktop,25,9,0,,14542,0,4.3,141,0
102,Biobío,Organic,No,Tecnología,Mobile,16,13,1,61474.0,71267,0,4.5,2,0
103,RM,Ads,No,Moda,Desktop,34,16,1,25088.0,4201,0,4.2,0,0
104,Valparaíso,Organic,No,Belleza,Mobile,23,10,0,,4422,0,,180,0
105,Los Lagos,Organic,No,Hogar,Mobile,13,10,0,,0,0,,85,0
106,RM,Ads,No,Moda,Mobile,18,17,0,,4738,0,4.3,47,0
107,RM,Organic,No,Tecnología,Mobile,19,18,0,,4627,0,,137,0
108,Biobío,Organic,No,Moda,Mobile,11,22,0,,0,0,4.2,73,0
109,RM,Ads,Sí,Hogar,Mobile,9,12,0,,0,0,4.8,102,1
110,RM,Organic,Sí,Tecnología,Mobile,25,22,1,59016.0,50861,0,3.2,62,0
111,RM,Email,Sí,Hogar,Mobile,26,13,1,34874.0,46763,0,4.0,12,0
112,RM,Organic,Sí,Tecnología,Mobile,24,23,0,,2618,0,3.4,67,0
113,Los Lagos,Organic,No,Belleza,Mobile,33,16,0,,3460,0,3.7,63,0
114,Araucanía,Ads,Sí,Hogar,Mobile,13,21,0,,2432,0,4.1,343,0
115,Biobío,Organic,No,Tecnología,Mobile,35,14,0,,0,0,4.4,75,0
116,Araucanía,Organic,No,Hogar,Mobile,9,12,0,,5063,0,4.4,121,0
117,Araucanía,Organic,No,Hogar,Mobile,8,15,0,,14281,0,4.4,109,0
118,RM,Organic,No,Deportes,Mobile,0,22,1,32889.0,20440,0,4.3,16,0
119,Araucanía,Email,Sí,Belleza,Mobile,14,17,2,29217.0,59076,0,3.8,72,0
120,Valparaíso,Organic,No,Hogar,Desktop,13,8,0,,6077,0,4.4,61,0
121,Araucanía,Email,No,Deportes,Mobile,23,19,1,38034.0,32046,0,3.9,18,0
122,Araucanía,Email,Sí,Moda,Mobile,20,28,0,,5858,0,4.4,105,0
123,RM,Ads,No,Tecnología,Desktop,6,13,1,41847.0,42207,0,3.8,35,0
124,RM,Referral,No,Moda,Mobile,14,7,0,,0,0,,65,0
125,RM,Organic,Sí,Hogar,Mobile,14,13,0,,0,0,,135,0
126,RM,Referral,No,Moda,Desktop,0,15,0,,0,0,4.2,94,0
127,Araucanía,Organic,No,Belleza,Mobile,8,38,1,23299.0,22712,0,3.8,13,1
128,Araucanía,Ads,No,Hogar,Desktop,10,38,1,41748.0,52262,0,4.3,84,0
129,RM,Ads,No,Belleza,Mobile,32,20,3,29964.0,92602,0,3.6,0,0
130,Valparaíso,Organic,Sí,Deportes,Mobile,20,14,1,35462.0,31222,0,4.8,14,0
131,RM,Ads,No,Hogar,Desktop,25,38,1,38115.0,25544,0,3.8,22,1
132,RM,Ads,No,Moda,Mobile,3,38,1,28616.0,35612,0,3.4,35,0
133,RM,Organic,No,Hogar,Mobile,30,9,0,,939,0,4.1,61,0
134,RM,Organic,No,Belleza,Mobile,31,16,1,20356.0,17203,0,4.0,88,0
135,Los Lagos,Ads,Sí,Moda,Mobile,0,34,2,23478.0,42627,0,3.9,78,0
136,RM,Ads,No,Tecnología,Mobile,11,38,1,64118.0,74065,0,4.6,54,0
137,Valparaíso,Referral,No,Hogar,Mobile,23,15,1,32189.0,43320,0,4.4,2,1
138,Biobío,Email,No,Moda,Mobile,24,26,2,30634.0,56254,0,4.3,0,0
139,RM,Referral,Sí,Tecnología,Mobile,11,27,0,,0,0,3.9,70,0
140,Los Lagos,Ads,Sí,Tecnología,Mobile,15,23,0,,0,0,,33,0
141,Los Lagos,Organic,No,Hogar,Mobile,12,18,1,30677.0,32486,0,3.9,3,0
142,RM,Organic,No,Hogar,Mobile,19,39,2,43453.0,87486,0,3.5,32,1
143,Valparaíso,Email,No,Hogar,Desktop,30,17,0,,0,0,,78,0
144,RM,Ads,Sí,Tecnología,Mobile,10,35,4,53305.0,225483,0,4.4,37,0
145,RM,Organic,No,Tecnología,Mobile,28,39,0,,0,0,4.1,126,0
146,RM,Organic,Sí,Moda,Desktop,10,30,1,30367.0,24375,0,4.3,39,1
147,Valparaíso,Referral,No,Hogar,Desktop,10,12,0,,0,0,3.7,147,0
148,Valparaíso,Ads,Sí,Tecnología,Mobile,26,29,3,61477.0,175832,0,3.9,2,0
149,RM,Ads,No,Hogar,Desktop,27,14,0,,0,0,4.0,95,0
150,RM,Ads,No,Moda,Mobile,27,22,0,,485,0,4.6,58,0
151,Los Lagos,Organic,No,Tecnología,Desktop,5,15,0,,11316,0,4.5,74,1
152,RM,Organic,No,Tecnología,Mobile,13,13,0,,0,0,,129,0
153,RM,Organic,Sí,Tecnología,Mobile,26,23,2,49976.0,91891,1,4.8,20,0
154,Valparaíso,Organic,Sí,Deportes,Mobile,18,10,0,,11277,0,4.4,69,0
155,Los Lagos,Email,No,Deportes,Desktop,7,43,3,36040.0,114833,0,4.3,180,0
156,RM,Organic,No,Deportes,Mobile,23,15,1,44462.0,37706,0,4.6,159,0
157,Biobío,Email,No,Moda,Mobile,11,16,0,,2579,0,4.3,173,0
158,Biobío,Email,Sí,Moda,Mobile,36,43,3,30207.0,99254,0,4.8,5,0
159,RM,Organic,No,Hogar,Desktop,33,22,0,,0,0,,149,0
160,Biobío,Ads,No,Moda,Desktop,24,17,0,,974,0,3.9,82,0
161,RM,Ads,No,Tecnología,Mobile,32,15,0,,0,0,4.1,51,0
162,Biobío,Email,No,Moda,Mobile,19,29,2,26154.0,42769,0,4.2,66,0
163,Biobío,Organic,No,Deportes,Mobile,26,31,1,46126.0,47456,0,3.8,0,0
164,Valparaíso,Ads,No,Hogar,Mobile,33,17,0,,3459,0,,62,0
165,RM,Ads,No,Hogar,Desktop,20,36,2,34463.0,175045,0,4.0,38,0
166,Araucanía,Organic,Sí,Tecnología,Mobile,15,13,1,73817.0,67287,0,3.9,5,1
167,RM,Organic,No,Moda,Mobile,1,36,1,24784.0,41590,0,3.9,51,0
168,RM,Ads,No,Moda,Mobile,17,24,1,18109.0,14192,0,4.4,99,0
169,RM,Ads,No,Belleza,Mobile,26,39,0,,4467,0,,45,0
170,Valparaíso,Organic,Sí,Hogar,Mobile,27,29,1,36509.0,42968,0,3.8,8,0
171,Biobío,Ads,No,Deportes,Mobile,23,13,0,,0,0,4.2,365,0
172,RM,Organic,No,Moda,Mobile,13,15,0,,6635,0,4.1,71,0
173,Valparaíso,Ads,No,Belleza,Mobile,0,18,0,,72,0,4.5,365,0
174,RM,Organic,No,Moda,Mobile,13,11,1,21229.0,19124,0,4.0,106,0
175,Biobío,Email,No,Hogar,Mobile,15,21,0,,0,0,3.7,37,0
176,RM,Organic,Sí,Moda,Mobile,15,8,0,,4663,0,,265,0
177,Biobío,Organic,Sí,Deportes,Desktop,24,20,0,,0,0,,33,0
178,RM,Organic,No,Belleza,Mobile,38,17,0,,256,0,3.3,46,0
179,Los Lagos,Organic,No,Tecnología,Mobile,19,5,0,,3448,0,4.1,100,0
180,RM,Ads,Sí,Tecnología,Desktop,16,25,1,68797.0,86085,0,4.4,6,0
181,RM,Organic,No,Belleza,Mobile,15,23,0,,0,0,4.2,44,1
182,RM,Email,Sí,Moda,Mobile,19,30,0,,3547,0,,275,0
183,Los Lagos,Organic,No,Moda,Mobile,10,21,0,,0,0,3.6,365,0
184,Araucanía,Organic,Sí,Hogar,Mobile,19,24,1,34121.0,37997,0,4.3,0,0
185,RM,Organic,Sí,Tecnología,Mobile,23,15,0,,6933,0,4.8,88,0
186,Biobío,Organic,Sí,Deportes,Mobile,20,42,2,29907.0,53932,0,4.7,42,0
187,Araucanía,Organic,No,Deportes,Desktop,23,2,0,,15641,0,4.0,39,0
188,Valparaíso,Organic,No,Hogar,Desktop,22,15,1,40090.0,50662,0,4.2,7,1
189,Valparaíso,Ads,Sí,Hogar,Mobile,0,22,3,25338.0,82320,0,4.6,3,0
190,RM,Organic,No,Deportes,Mobile,24,17,0,,0,0,4.0,188,0
191,RM,Ads,No,Tecnología,Mobile,11,13,1,50468.0,46032,0,3.6,4,1
192,Araucanía,Ads,Sí,Belleza,Mobile,7,39,2,18720.0,40957,0,3.3,0,1
193,Los Lagos,Organic,Sí,Tecnología,Mobile,7,10,1,66237.0,63084,0,4.3,29,0
194,Biobío,Ads,Sí,Moda,Desktop,22,15,0,,0,0,4.2,205,1
195,RM,Referral,No,Belleza,Mobile,16,14,1,24726.0,40048,0,3.5,4,0
196,RM,Ads,Sí,Moda,Desktop,1,37,3,43539.0,134998,0,3.8,43,0
197,Biobío,Ads,Sí,Hogar,Mobile,23,36,1,30312.0,36900,0,4.2,28,1
198,Araucanía,Organic,No,Moda,Desktop,4,27,0,,15013,0,3.9,44,0
199,Araucanía,Email,No,Hogar,Mobile,19,25,3,33885.0,336555,0,4.6,50,0
200,Biobío,Email,No,Tecnología,Mobile,20,15,1,64618.0,59558,0,4.6,65,0
201,Biobío,Ads,No,Belleza,Mobile,27,28,0,,0,0,3.8,193,0
202,RM,Referral,Sí,Deportes,Mobile,36,25,2,30622.0,72080,0,4.8,54,1
203,RM,Organic,No,Moda,Mobile,4,6,0,,0,0,4.7,365,0
204,Araucanía,Organic,Sí,Hogar,Mobile,17,13,0,,0,0,,71,0
205,Valparaíso,Email,Sí,Tecnología,Mobile,15,21,1,67915.0,46621,0,3.9,83,0
206,RM,Email,No,Tecnología,Mobile,22,8,0,,0,0,4.1,250,0
207,RM,Organic,Sí,Moda,Desktop,20,22,2,32952.0,62899,0,3.5,0,0
208,Biobío,Organic,No,Deportes,Mobile,14,25,1,47182.0,45369,0,3.9,69,0
209,RM,Organic,Sí,Moda,Mobile,14,20,2,31586.0,67379,0,4.3,11,0
210,RM,Organic,No,Deportes,Mobile,7,4,0,,0,0,4.2,60,0
211,Valparaíso,Email,Sí,Tecnología,Desktop,28,27,2,65295.0,132337,0,4.1,30,0
212,Biobío,Ads,No,Hogar,Mobile,23,15,0,,7073,0,,126,0
213,Biobío,Organic,No,Tecnología,Mobile,27,14,0,,0,0,,273,0
214,RM,Organic,Sí,Hogar,Mobile,15,55,4,35381.0,137807,0,4.7,2,1
215,Biobío,Organic,No,Tecnología,Desktop,11,27,0,,0,0,4.6,44,0
216,RM,Organic,No,Belleza,Desktop,7,31,2,22014.0,53195,0,4.3,101,0
217,RM,Ads,No,Tecnología,Mobile,22,18,0,,0,0,,73,0
218,Biobío,Referral,Sí,Belleza,Mobile,8,48,0,,12615,0,4.0,72,0
219,Biobío,Email,No,Hogar,Mobile,36,9,0,,0,0,,58,0
220,Araucanía,Organic,No,Belleza,Mobile,5,6,0,,0,0,,96,0
221,Biobío,Email,No,Moda,Mobile,21,49,1,25860.0,32587,1,3.6,74,0
222,Valparaíso,Email,No,Belleza,Desktop,34,4,0,,4065,0,4.5,44,0
223,RM,Email,No,Tecnología,Desktop,24,12,1,64732.0,68057,0,3.9,62,0
224,RM,Ads,No,Deportes,Mobile,20,26,0,,5632,0,,119,0
225,RM,Organic,No,Belleza,Mobile,8,14,0,,1296,0,4.4,35,0
226,RM,Organic,No,Tecnología,Mobile,4,11,0,,3670,0,,120,0
227,Los Lagos,Organic,No,Tecnología,Mobile,26,17,2,48088.0,333152,0,4.1,7,0
228,RM,Organic,Sí,Hogar,Desktop,33,24,0,,1620,0,4.7,65,0
229,Araucanía,Organic,No,Belleza,Mobile,14,18,0,,6557,0,4.5,72,0
230,Biobío,Ads,No,Moda,Mobile,7,38,1,24603.0,35964,0,4.2,4,1
231,Araucanía,Ads,No,Moda,Mobile,0,25,1,36215.0,38809,0,3.7,5,0
232,Valparaíso,Ads,No,Tecnología,Mobile,8,17,1,71185.0,91368,0,3.9,0,0
233,Valparaíso,Organic,Sí,Tecnología,Desktop,17,25,3,59192.0,163283,0,5.0,27,0
234,Valparaíso,Referral,No,Deportes,Mobile,34,1,0,,16003,0,,100,0
235,RM,Referral,No,Tecnología,Desktop,25,15,0,,5768,0,,36,0
236,Biobío,Email,No,Moda,Mobile,21,20,1,25497.0,11920,0,3.7,41,0
237,RM,Referral,Sí,Belleza,Desktop,14,16,1,29209.0,29532,0,3.6,52,1
238,RM,Ads,No,Tecnología,Mobile,12,14,1,48755.0,51972,0,4.5,17,0
239,Biobío,Referral,No,Moda,Desktop,32,27,0,,7290,0,4.5,48,0
240,RM,Organic,No,Tecnología,Mobile,20,8,0,,0,0,,48,0
241,Los Lagos,Organic,Sí,Moda,Mobile,0,33,3,33510.0,106100,0,4.1,0,0
242,Los Lagos,Organic,No,Tecnología,Mobile,11,39,1,81671.0,-92754,0,4.5,33,1
243,Los Lagos,Organic,No,Deportes,Mobile,9,13,0,,7092,0,3.6,241,0
244,RM,Organic,Sí,Hogar,Mobile,13,18,2,32804.0,75153,0,4.9,46,0
245,RM,Ads,Sí,Hogar,Mobile,24,21,1,42278.0,38714,0,4.5,5,0
246,Los Lagos,Email,No,Moda,Desktop,17,37,1,27874.0,33356,0,3.7,7,0
247,RM,Ads,Sí,Tecnología,Mobile,17,12,0,,18398,0,4.5,69,0
248,Los Lagos,Organic,Sí,Deportes,Desktop,31,14,0,,0,0,4.0,104,0
249,Los Lagos,Email,No,Hogar,Desktop,11,4,1,30966.0,34342,0,3.6,22,0
250,Araucanía,Ads,No,Moda,Mobile,37,16,3,33314.0,91023,0,4.4,0,0
251,RM,Organic,No,Tecnología,Mobile,11,18,1,61051.0,71089,0,3.7,1,1
252,RM,Ads,Sí,Moda,Mobile,19,49,2,26965.0,38115,0,3.8,31,0
253,Araucanía,Organic,Sí,Tecnología,Mobile,15,20,0,,0,0,4.4,31,0
254,RM,Organic,No,Hogar,Mobile,19,22,1,27577.0,89775,0,4.1,6,0
255,RM,Referral,Sí,Tecnología,Desktop,22,14,0,,0,0,4.6,56,0
256,Valparaíso,Organic,No,Deportes,Mobile,22,7,0,,0,0,4.0,87,0
257,Los Lagos,Ads,No,Tecnología,Mobile,10,35,1,69826.0,79798,0,4.0,11,0
258,Biobío,Email,No,Belleza,Mobile,7,18,1,25527.0,24418,0,3.4,8,0
259,Valparaíso,Ads,No,Belleza,Desktop,43,26,2,18425.0,20590,0,4.3,45,1
260,RM,Organic,Sí,Tecnología,Mobile,13,22,0,,0,0,4.2,38,0
261,Valparaíso,Organic,No,Moda,Mobile,25,5,0,,10545,0,4.5,267,0
262,Los Lagos,Organic,Sí,Tecnología,Mobile,2,33,1,87559.0,99331,0,4.5,13,0
263,RM,Ads,No,Hogar,Mobile,15,14,1,34664.0,18606,0,4.2,7,0
264,Valparaíso,Ads,No,Moda,Desktop,17,25,1,32040.0,24444,0,3.8,10,0
265,Araucanía,Organic,Sí,Moda,Desktop,23,14,0,,0,0,4.1,51,0
266,Biobío,Referral,No,Moda,Mobile,0,8,0,,0,0,,97,0
267,Biobío,Ads,No,Tecnología,Mobile,20,16,0,,0,0,,43,0
268,Biobío,Organic,No,Hogar,Mobile,7,9,0,,847,0,4.6,361,0
269,RM,Ads,Sí,Tecnología,Mobile,21,14,1,65735.0,61151,0,4.7,9,0
270,RM,Ads,No,Moda,Mobile,8,52,1,33409.0,29980,0,4.0,0,0
271,Araucanía,Organic,No,Hogar,Mobile,9,16,0,,0,0,4.1,128,0
272,Araucanía,Organic,No,Moda,Mobile,15,5,0,,6270,0,3.8,74,0
273,Araucanía,Email,No,Tecnología,Desktop,7,7,0,,0,0,4.1,292,0
274,Los Lagos,Ads,Sí,Hogar,Mobile,13,17,1,30859.0,33913,0,4.6,6,0
275,Valparaíso,Ads,No,Hogar,Desktop,6,12,0,,8026,0,3.9,52,0
276,Valparaíso,Ads,No,Tecnología,Mobile,0,27,1,46309.0,62237,0,4.0,71,0
277,Araucanía,Organic,No,Hogar,Mobile,28,18,1,31132.0,35136,0,3.7,30,0
278,Biobío,Organic,No,Deportes,Desktop,5,16,0,,1810,0,3.9,98,0
279,Biobío,Ads,Sí,Belleza,Mobile,16,8,0,,0,0,4.5,52,0
280,Araucanía,Organic,No,Hogar,Mobile,26,22,0,,11782,0,4.0,115,0
281,Araucanía,Organic,Sí,Hogar,Mobile,12,11,0,,1144,0,3.8,69,0
282,RM,Email,No,Tecnología,Mobile,10,14,1,52512.0,54987,1,4.1,5,0
283,RM,Referral,No,Belleza,Desktop,20,19,0,,3163,0,4.1,95,0
284,RM,Email,Sí,Tecnología,Desktop,29,27,3,69542.0,209539,1,4.5,8,1
285,Valparaíso,Email,No,Belleza,Mobile,6,18,0,,63,0,,95,0
286,RM,Organic,Sí,Hogar,Mobile,16,24,0,,0,0,3.9,203,0
287,Valparaíso,Referral,Sí,Hogar,Mobile,1,25,1,41060.0,46876,0,4.6,22,0
288,Valparaíso,Organic,No,Belleza,Mobile,14,6,0,,0,0,3.8,36,1
289,RM,Referral,No,Tecnología,Mobile,18,6,0,,0,0,,127,0
290,Valparaíso,Referral,Sí,Moda,Mobile,9,30,1,26353.0,19576,0,3.9,180,0
291,RM,Ads,No,Moda,Mobile,13,30,2,23222.0,56434,0,3.9,15,0
292,RM,Referral,No,Tecnología,Mobile,4,8,1,52364.0,55926,0,3.4,2,0
293,Araucanía,Ads,No,Hogar,Mobile,19,18,0,,0,0,3.5,56,0
294,RM,Organic,No,Moda,Mobile,29,20,1,21660.0,15256,0,4.4,76,0
295,RM,Ads,Sí,Deportes,Mobile,7,22,1,36075.0,35439,0,4.2,49,0
296,Valparaíso,Ads,No,Tecnología,Desktop,12,31,0,,3202,0,,58,0
297,Biobío,Organic,No,Belleza,Desktop,23,12,0,,10887,0,,114,0
298,RM,Ads,No,Tecnología,Mobile,30,21,0,,16422,0,4.3,154,0
299,Valparaíso,Referral,No,Tecnología,Mobile,3,28,4,61273.0,244085,0,3.8,0,0
300,RM,Organic,No,Tecnología,Desktop,16,7,0,,17617,0,4.3,33,0
301,RM,Email,Sí,Tecnología,Desktop,21,36,3,55892.0,168313,0,4.3,15,0
302,Valparaíso,Referral,No,Tecnología,Desktop,17,35,1,37824.0,40243,0,3.8,58,0
303,Valparaíso,Referral,Sí,Belleza,Mobile,0,29,2,22768.0,53365,0,4.5,11,1
304,Biobío,Referral,Sí,Hogar,Desktop,23,21,0,,8991,0,4.3,30,1
305,Biobío,Ads,No,Tecnología,Mobile,33,11,1,66879.0,79482,0,3.7,56,0
306,Los Lagos,Referral,No,Tecnología,Desktop,19,18,0,,0,0,,38,0
307,Valparaíso,Email,No,Moda,Desktop,8,10,1,26196.0,27173,0,4.3,8,0
308,RM,Organic,No,Deportes,Mobile,13,13,1,48281.0,58322,0,4.5,121,0
309,Araucanía,Ads,Sí,Tecnología,Desktop,36,28,1,62253.0,53709,0,4.3,26,0
